본관,37.299014716251826, 126.83305865536221
제4공학관,37.29688927293246, 126.83622832709648
학생복지관,37.298248955230555, 126.83437433816779
제5공학관,37.296918993019524, 126.83740049641528
학생회관,37.29747252763463, 126.83472458796494
버스승강장(셔틀콕),37.29878762038473, 126.83804495604204
제2공학관,37.29728306322489, 126.83273516911707
ERICA 컨벤션센터,37.298375263268106, 126.838708095658
건축디자인관,37.296865028109735, 126.83250634863033
창업보육센터,37.29567778291407, 126.83716722677448
초대형구조실험동,37.29674126753918, 126.83227150111712
약학관,37.29651307176672, 126.83784357679669
풍환경실험관,37.29641728918379, 126.83200008471114
동물실험동,37.2956042745312, 126.83831874484086
수리실험동,37.296316723655046, 126.83172364103253
학연산클러스터지원센터,37.296415245623876, 126.83895979081939
디자인문화관,37.296763890475255, 126.83157209724257
산학연협력관,37.29662594792728, 126.83955100587374
디자인교육관,37.296967901225194, 126.83116829967315
포장가속실험동,37.2968291245895, 126.8399766807129
디자인연구관,37.29731278740224, 126.83199253350772
퓨전전기기술응용연구센터,37.29640390874938, 126.83996073758604
경상관,37.29987807508528, 126.83598505444029
BMR센터,37.29645725193325, 126.8406795696001
글로벌문화통상관,37.29951155041885, 126.83506975886137
라이언스홀,37.295831345643755, 126.84132739189434
사회교육관,37.29996352595505, 126.83443800366851
학술정보관,37.29680218431141, 126.8352627803858
언론정보관,37.30029908094522, 126.83497636136109
체육관,37.29601461717209, 126.83340728322578
제1과학기술관,37.29878840192088, 126.83588543043949
뮤즈홀(실용음악관),37.296066043521016, 126.83294308738125
컨퍼런스홀,37.299086083711764, 126.83681750266862
대운동장본부석,37.294438097183665, 126.83229101827799
제2과학기술관,37.29861444111712, 126.83716885019818
테니스장관리동,37.29429247027254, 126.83450560266438
창의인재관,37.2913028022707, 126.83623898991387
제1학술관,37.298293959821244, 126.83582159765274
인재관,37.2923449602504, 126.83531357698132
제1공학관,37.29778537397895, 126.83691759740987
행복관,37.29269234302598, 126.8362464329133
폐수처리장관리동,37.29707484313568, 126.83655206312643
교육관,37.292712775127974, 126.83710962835977
제3공학관,37.29748222511695, 126.8362467699723
맞춤의약연구원(HY-IPT),37.29849213031019, 126.83632895101579
융합교육관,37.295779849802685,126.8384814983289
